Infinitive,отде́лываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отде́лывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отде́лывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отде́лываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отде́лывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отде́лываюсь
2nd Sing,отде́лываешься
3rd Sing,отде́лывается
1st Pl,отде́лываемся
2nd Pl,отде́лываетесь
3rd Pl,отде́лываются
Past M,отде́лывался
Past F,отде́лывалась
Past N,отде́лывалось
Past PL,отде́лывались
Imp S,отде́лывайся
Imp PL,отде́лывайтесь
