Infinitive,отсчи́тывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отсчи́тывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отсчи́тывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отсчи́тываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отсчи́тывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отсчи́тывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отсчи́тывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отсчи́тываю
2nd Sing,отсчи́тываешь
3rd Sing,отсчи́тывает
1st Pl,отсчи́тываем
2nd Pl,отсчи́тываете
3rd Pl,отсчи́тывают
Past M,отсчи́тывал
Past F,отсчи́тывала
Past N,отсчи́тывало
Past PL,отсчи́тывали
Imp S,отсчи́тывай
Imp PL,отсчи́тывайте
