Infinitive,отдаля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отдаля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отдаля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отдаля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отдаля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отдаля́юсь
2nd Sing,отдаля́ешься
3rd Sing,отдаля́ется
1st Pl,отдаля́емся
2nd Pl,отдаля́етесь
3rd Pl,отдаля́ются
Past M,отдаля́лся
Past F,отдаля́лась
Past N,отдаля́лось
Past PL,отдаля́лись
Imp S,отдаля́йся
Imp PL,отдаля́йтесь
