Infinitive,отбива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отбива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отбива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отбива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отбива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отбива́юсь
2nd Sing,отбива́ешься
3rd Sing,отбива́ется
1st Pl,отбива́емся
2nd Pl,отбива́етесь
3rd Pl,отбива́ются
Past M,отбива́лся
Past F,отбива́лась
Past N,отбива́лось
Past PL,отбива́лись
Imp S,отбива́йся
Imp PL,отбива́йтесь
