Infinitive,отма́хиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отма́хивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отма́хивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отма́хиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отма́хивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отма́хиваюсь
2nd Sing,отма́хиваешься
3rd Sing,отма́хивается
1st Pl,отма́хиваемся
2nd Pl,отма́хиваетесь
3rd Pl,отма́хиваются
Past M,отма́хивался
Past F,отма́хивалась
Past N,отма́хивалось
Past PL,отма́хивались
Imp S,отма́хивайся
Imp PL,отма́хивайтесь
