Infinitive,отсы́пать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отсы́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отсы́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отсы́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отсы́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отсы́плю
2nd Sing,отсы́плешь
3rd Sing,отсы́плет
1st Pl,отсы́плем
2nd Pl,отсы́плете
3rd Pl,отсы́плют
Past M,отсы́пал
Past F,отсы́пала
Past N,отсы́пало
Past PL,отсы́пали
Imp S,отсы́пь
Imp PL,отсы́пьте
