Infinitive,отцепи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отцепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отце́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отцепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отцепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отцеплю́
2nd Sing,отце́пишь
3rd Sing,отце́пит
1st Pl,отце́пим
2nd Pl,отце́пите
3rd Pl,отце́пят
Past M,отцепи́л
Past F,отцепи́ла
Past N,отцепи́ло
Past PL,отцепи́ли
Imp S,отцепи́
Imp PL,отцепи́те
