Infinitive,отви́снуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отви́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отви́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отви́сну
2nd Sing,отви́снешь
3rd Sing,отви́снет
1st Pl,отви́снем
2nd Pl,отви́снете
3rd Pl,отви́снут
Past M,отви́с
Past F,отви́сла
Past N,отви́сло
Past PL,отви́сли
Imp S,отви́сни
Imp PL,отви́сните
