Infinitive,отпе́ть
Zaliznyak Class,12b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отпе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпе́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отпе́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отпе́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отпою́
2nd Sing,отпоёшь
3rd Sing,отпоёт
1st Pl,отпоём
2nd Pl,отпоёте
3rd Pl,отпою́т
Past M,отпе́л
Past F,отпе́ла
Past N,отпе́ло
Past PL,отпе́ли
Imp S,отпо́й
Imp PL,отпо́йте
