Infinitive,открести́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,открести́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,открести́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,открещу́сь
2nd Sing,откре́стишься
3rd Sing,откре́стится
1st Pl,откре́стимся
2nd Pl,откре́ститесь
3rd Pl,откре́стятся
Past M,открести́лся
Past F,открести́лась
Past N,открести́лось
Past PL,открести́лись
Imp S,открести́сь
Imp PL,открести́тесь
