Infinitive,отморо́зить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отморо́зивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отморо́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отморо́зив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отморо́зивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отморо́жу
2nd Sing,отморо́зишь
3rd Sing,отморо́зит
1st Pl,отморо́зим
2nd Pl,отморо́зите
3rd Pl,отморо́зят
Past M,отморо́зил
Past F,отморо́зила
Past N,отморо́зило
Past PL,отморо́зили
Imp S,отморо́зь
Imp PL,отморо́зьте
