Infinitive,откопа́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,откопа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отко́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,откопа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,откопа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,откопа́ю
2nd Sing,откопа́ешь
3rd Sing,откопа́ет
1st Pl,откопа́ем
2nd Pl,откопа́ете
3rd Pl,откопа́ют
Past M,откопа́л
Past F,откопа́ла
Past N,откопа́ло
Past PL,откопа́ли
Imp S,откопа́й
Imp PL,откопа́йте
