Infinitive,откла́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,откла́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,откла́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,откла́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,откла́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,откла́дываюсь
2nd Sing,откла́дываешься
3rd Sing,откла́дывается
1st Pl,откла́дываемся
2nd Pl,откла́дываетесь
3rd Pl,откла́дываются
Past M,откла́дывался
Past F,откла́дывалась
Past N,откла́дывалось
Past PL,откла́дывались
Imp S,откла́дывайся
Imp PL,откла́дывайтесь
