Infinitive,отвинти́ть
Zaliznyak Class,4c // 4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отвинти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отви́нченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отвинти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отвинти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отвинчу́
2nd Sing,отви́нтишь
3rd Sing,отви́нтит
1st Pl,отви́нтим
2nd Pl,отви́нтите
3rd Pl,отви́нтят
Past M,отвинти́л
Past F,отвинти́ла
Past N,отвинти́ло
Past PL,отвинти́ли
Imp S,отвинти́
Imp PL,отвинти́те
