Infinitive,отключи́ть
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отключи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отключённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,-
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,отключи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отключи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отключу́
2nd Sing,отключи́шь
3rd Sing,отключи́т
1st Pl,отключи́м
2nd Pl,отключи́те
3rd Pl,отключа́т
Past M,отключи́л
Past F,отключи́ла
Past N,отключи́ло
Past PL,отключи́ли
Imp S,отключи́
Imp PL,отключи́те
