Infinitive,отбро́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отбро́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отбро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отбро́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отбро́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отбро́шу
2nd Sing,отбро́сишь
3rd Sing,отбро́сит
1st Pl,отбро́сим
2nd Pl,отбро́сите
3rd Pl,отбро́сят
Past M,отбро́сил
Past F,отбро́сила
Past N,отбро́сило
Past PL,отбро́сили
Imp S,отбро́сь
Imp PL,отбро́сьте
