Infinitive,отмахну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отмахну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отмахну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отмахну́сь
2nd Sing,отмахнёшься
3rd Sing,отмахнётся
1st Pl,отмахнёмся
2nd Pl,отмахнётесь
3rd Pl,отмахну́тся
Past M,отмахну́лся
Past F,отмахну́лась
Past N,отмахну́лось
Past PL,отмахну́лись
Imp S,отмахни́сь
Imp PL,отмахни́тесь
