Infinitive,отключи́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отключи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отключи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отключу́сь
2nd Sing,отключи́шься
3rd Sing,отключи́тся
1st Pl,отключи́мся
2nd Pl,отключи́тесь
3rd Pl,отключа́тся
Past M,отключи́лся
Past F,отключи́лась
Past N,отключи́лось
Past PL,отключи́лись
Imp S,отключи́сь
Imp PL,отключи́тесь
