Infinitive,отта́лкивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отта́лкивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отта́лкивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отта́лкиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отта́лкивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отта́лкивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отта́лкивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отта́лкиваю
2nd Sing,отта́лкиваешь
3rd Sing,отта́лкивает
1st Pl,отта́лкиваем
2nd Pl,отта́лкиваете
3rd Pl,отта́лкивают
Past M,отта́лкивал
Past F,отта́лкивала
Past N,отта́лкивало
Past PL,отта́лкивали
Imp S,отта́лкивай
Imp PL,отта́лкивайте
