Infinitive,отстраня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отстраня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отстраня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отстраня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отстраня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отстраня́юсь
2nd Sing,отстраня́ешься
3rd Sing,отстраня́ется
1st Pl,отстраня́емся
2nd Pl,отстраня́етесь
3rd Pl,отстраня́ются
Past M,отстраня́лся
Past F,отстраня́лась
Past N,отстраня́лось
Past PL,отстраня́лись
Imp S,отстраня́йся
Imp PL,отстраня́йтесь
