Infinitive,оторва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оторва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ото́рванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оторва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оторва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оторву́
2nd Sing,оторвёшь
3rd Sing,оторвёт
1st Pl,оторвём
2nd Pl,оторвёте
3rd Pl,оторву́т
Past M,оторва́л
Past F,оторвала́
Past N,оторва́ло
Past PL,оторва́ли
Imp S,оторви́
Imp PL,оторви́те
