Infinitive,отполирова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отполирова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отполиро́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отполирова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отполирова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отполиру́ю
2nd Sing,отполиру́ешь
3rd Sing,отполиру́ет
1st Pl,отполиру́ем
2nd Pl,отполиру́ете
3rd Pl,отполиру́ют
Past M,отполирова́л
Past F,отполирова́ла
Past N,отполирова́ло
Past PL,отполирова́ли
Imp S,отполиру́й
Imp PL,отполиру́йте
