Infinitive,отредакти́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отредакти́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отредакти́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отредакти́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отредакти́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отредакти́рую
2nd Sing,отредакти́руешь
3rd Sing,отредакти́рует
1st Pl,отредакти́руем
2nd Pl,отредакти́руете
3rd Pl,отредакти́руют
Past M,отредакти́ровал
Past F,отредакти́ровала
Past N,отредакти́ровало
Past PL,отредакти́ровали
Imp S,отредакти́руй
Imp PL,отредакти́руйте
