Infinitive,отвяза́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отвяза́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвя́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отвяза́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отвяза́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отвяжу́
2nd Sing,отвя́жешь
3rd Sing,отвя́жет
1st Pl,отвя́жем
2nd Pl,отвя́жете
3rd Pl,отвя́жут
Past M,отвяза́л
Past F,отвяза́ла
Past N,отвяза́ло
Past PL,отвяза́ли
Imp S,отвяжи́
Imp PL,отвяжи́те
