Infinitive,отси́живаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отси́живающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отси́живавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отси́живаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отси́живавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отси́живаюсь
2nd Sing,отси́живаешься
3rd Sing,отси́живается
1st Pl,отси́живаемся
2nd Pl,отси́живаетесь
3rd Pl,отси́живаются
Past M,отси́живался
Past F,отси́живалась
Past N,отси́живалось
Past PL,отси́живались
Imp S,отси́живайся
Imp PL,отси́живайтесь
