Infinitive,отня́ть
Zaliznyak Class,14c/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,о́тнятый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отниму́
2nd Sing,отни́мешь
3rd Sing,отни́мет
1st Pl,отни́мем
2nd Pl,отни́мете
3rd Pl,отни́мут
Past M,о́тнял
Past F,отняла́
Past N,о́тняло
Past PL,о́тняли
Imp S,отними́
Imp PL,отними́те
