Infinitive,отлежа́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отлежа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отлежа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отлежу́сь
2nd Sing,отлежи́шься
3rd Sing,отлежи́тся
1st Pl,отлежи́мся
2nd Pl,отлежи́тесь
3rd Pl,отлежа́тся
Past M,отлежа́лся
Past F,отлежа́лась
Past N,отлежа́лось
Past PL,отлежа́лись
Imp S,отлежи́сь
Imp PL,отлежи́тесь
