Infinitive,отмы́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отмы́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отмы́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отмы́юсь
2nd Sing,отмы́ешься
3rd Sing,отмы́ется
1st Pl,отмы́емся
2nd Pl,отмы́етесь
3rd Pl,отмы́ются
Past M,отмы́лся
Past F,отмы́лась
Past N,отмы́лось
Past PL,отмы́лись
Imp S,отмы́йся
Imp PL,отмы́йтесь
