Infinitive,оторопе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,оторопе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оторопе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,оторопе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,оторопе́ю
2nd Sing,оторопе́ешь
3rd Sing,оторопе́ет
1st Pl,оторопе́ем
2nd Pl,оторопе́ете
3rd Pl,оторопе́ют
Past M,оторопе́л
Past F,оторопе́ла
Past N,оторопе́ло
Past PL,оторопе́ли
Imp S,оторопе́й
Imp PL,оторопе́йте
