Infinitive,отпугну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отпугну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпу́гнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отпугну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отпугну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отпугну́
2nd Sing,отпугнёшь
3rd Sing,отпугнёт
1st Pl,отпугнём
2nd Pl,отпугнёте
3rd Pl,отпугну́т
Past M,отпугну́л
Past F,отпугну́ла
Past N,отпугну́ло
Past PL,отпугну́ли
Imp S,отпугни́
Imp PL,отпугни́те
