Infinitive,отогну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отогну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ото́гнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отогну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отогну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отогну́
2nd Sing,отогнёшь
3rd Sing,отогнёт
1st Pl,отогнём
2nd Pl,отогнёте
3rd Pl,отогну́т
Past M,отогну́л
Past F,отогну́ла
Past N,отогну́ло
Past PL,отогну́ли
Imp S,отогни́
Imp PL,отогни́те
