Infinitive,отскочи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отскочи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отскочи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отскочи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отскочу́
2nd Sing,отско́чишь
3rd Sing,отско́чит
1st Pl,отско́чим
2nd Pl,отско́чите
3rd Pl,отско́чат
Past M,отскочи́л
Past F,отскочи́ла
Past N,отскочи́ло
Past PL,отскочи́ли
Imp S,отскочи́
Imp PL,отскочи́те
