Infinitive,отучи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отучи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отучи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отучу́сь
2nd Sing,оту́чишься
3rd Sing,оту́чится
1st Pl,оту́чимся
2nd Pl,оту́читесь
3rd Pl,оту́чатся
Past M,отучи́лся
Past F,отучи́лась
Past N,отучи́лось
Past PL,отучи́лись
Imp S,отучи́сь
Imp PL,отучи́тесь
