Infinitive,откла́няться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,откла́нявшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,откла́нявшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,откла́няюсь
2nd Sing,откла́няешься
3rd Sing,откла́няется
1st Pl,откла́няемся
2nd Pl,откла́няетесь
3rd Pl,откла́няются
Past M,откла́нялся
Past F,откла́нялась
Past N,откла́нялось
Past PL,откла́нялись
Imp S,откла́няйся
Imp PL,откла́няйтесь
