Infinitive,отсу́тствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отсу́тствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отсу́тствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отсу́тствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отсу́тствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отсу́тствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отсу́тствую
2nd Sing,отсу́тствуешь
3rd Sing,отсу́тствует
1st Pl,отсу́тствуем
2nd Pl,отсу́тствуете
3rd Pl,отсу́тствуют
Past M,отсу́тствовал
Past F,отсу́тствовала
Past N,отсу́тствовало
Past PL,отсу́тствовали
Imp S,отсу́тствуй
Imp PL,отсу́тствуйте
