Infinitive,отва́живаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отва́живающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отва́живавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отва́живаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отва́живавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отва́живаюсь
2nd Sing,отва́живаешься
3rd Sing,отва́живается
1st Pl,отва́живаемся
2nd Pl,отва́живаетесь
3rd Pl,отва́живаются
Past M,отва́живался
Past F,отва́живалась
Past N,отва́живалось
Past PL,отва́живались
Imp S,отва́живайся
Imp PL,отва́живайтесь
