Infinitive,откли́кнуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,откли́кнувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,откли́кнувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,откли́кнусь
2nd Sing,откли́кнешься
3rd Sing,откли́кнется
1st Pl,откли́кнемся
2nd Pl,откли́кнетесь
3rd Pl,откли́кнутся
Past M,откли́кнулся
Past F,откли́кнулась
Past N,откли́кнулось
Past PL,откли́кнулись
Imp S,откли́кнись
Imp PL,откли́книтесь
