Infinitive,отлета́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отлета́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отлета́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отлета́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отлета́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отлета́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отлета́ю
2nd Sing,отлета́ешь
3rd Sing,отлета́ет
1st Pl,отлета́ем
2nd Pl,отлета́ете
3rd Pl,отлета́ют
Past M,отлета́л
Past F,отлета́ла
Past N,отлета́ло
Past PL,отлета́ли
Imp S,отлета́й
Imp PL,отлета́йте
