Infinitive,отвезти́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отвёзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвезённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отвезя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отвёзши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отвезу́
2nd Sing,отвезёшь
3rd Sing,отвезёт
1st Pl,отвезём
2nd Pl,отвезёте
3rd Pl,отвезу́т
Past M,отвёз
Past F,отвезла́
Past N,отвезло́
Past PL,отвезли́
Imp S,отвези́
Imp PL,отвези́те
