Infinitive,отоспа́ться
Zaliznyak Class,5b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отоспа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отоспа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отосплю́сь
2nd Sing,отоспи́шься
3rd Sing,отоспи́тся
1st Pl,отоспи́мся
2nd Pl,отоспи́тесь
3rd Pl,отоспя́тся
Past M,отоспа́лся
Past F,отоспала́сь
Past N,отоспало́сь
Past PL,отоспали́сь
Imp S,отоспи́сь
Imp PL,отоспи́тесь
