Infinitive,отказа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отказа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отка́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отказа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отказа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,откажу́
2nd Sing,отка́жешь
3rd Sing,отка́жет
1st Pl,отка́жем
2nd Pl,отка́жете
3rd Pl,отка́жут
Past M,отказа́л
Past F,отказа́ла
Past N,отказа́ло
Past PL,отказа́ли
Imp S,откажи́
Imp PL,откажи́те
