Infinitive,отшу́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отшу́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отшу́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отшу́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отшу́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отшу́чиваюсь
2nd Sing,отшу́чиваешься
3rd Sing,отшу́чивается
1st Pl,отшу́чиваемся
2nd Pl,отшу́чиваетесь
3rd Pl,отшу́чиваются
Past M,отшу́чивался
Past F,отшу́чивалась
Past N,отшу́чивалось
Past PL,отшу́чивались
Imp S,отшу́чивайся
Imp PL,отшу́чивайтесь
