Infinitive,отчи́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отчи́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отчи́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отчи́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отчи́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отчи́тываюсь
2nd Sing,отчи́тываешься
3rd Sing,отчи́тывается
1st Pl,отчи́тываемся
2nd Pl,отчи́тываетесь
3rd Pl,отчи́тываются
Past M,отчи́тывался
Past F,отчи́тывалась
Past N,отчи́тывалось
Past PL,отчи́тывались
Imp S,отчи́тывайся
Imp PL,отчи́тывайтесь
