Infinitive,отдели́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отдели́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отдели́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отделю́сь
2nd Sing,отде́лишься
3rd Sing,отде́лится
1st Pl,отде́лимся
2nd Pl,отде́литесь
3rd Pl,отде́лятся
Past M,отдели́лся
Past F,отдели́лась
Past N,отдели́лось
Past PL,отдели́лись
Imp S,отдели́сь
Imp PL,отдели́тесь
