Infinitive,отдава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отдаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отдава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отдава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отдава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отдаю́сь
2nd Sing,отдаёшься
3rd Sing,отдаётся
1st Pl,отдаёмся
2nd Pl,отдаётесь
3rd Pl,отдаю́тся
Past M,отдава́лся
Past F,отдава́лась
Past N,отдава́лось
Past PL,отдава́лись
Imp S,отдава́йся
Imp PL,отдава́йтесь
