Infinitive,отпира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отпира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отпира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отпира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отпира́юсь
2nd Sing,отпира́ешься
3rd Sing,отпира́ется
1st Pl,отпира́емся
2nd Pl,отпира́етесь
3rd Pl,отпира́ются
Past M,отпира́лся
Past F,отпира́лась
Past N,отпира́лось
Past PL,отпира́лись
Imp S,отпира́йся
Imp PL,отпира́йтесь
