Infinitive,отлуча́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отлуча́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отлуча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отлуча́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отлуча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отлуча́юсь
2nd Sing,отлуча́ешься
3rd Sing,отлуча́ется
1st Pl,отлуча́емся
2nd Pl,отлуча́етесь
3rd Pl,отлуча́ются
Past M,отлуча́лся
Past F,отлуча́лась
Past N,отлуча́лось
Past PL,отлуча́лись
Imp S,отлуча́йся
Imp PL,отлуча́йтесь
