Infinitive,отыгра́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отыгра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оты́гранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отыгра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отыгра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отыгра́ю
2nd Sing,отыгра́ешь
3rd Sing,отыгра́ет
1st Pl,отыгра́ем
2nd Pl,отыгра́ете
3rd Pl,отыгра́ют
Past M,отыгра́л
Past F,отыгра́ла
Past N,отыгра́ло
Past PL,отыгра́ли
Imp S,отыгра́й
Imp PL,отыгра́йте
