Infinitive,отре́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отре́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отре́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отре́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отре́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отре́жу
2nd Sing,отре́жешь
3rd Sing,отре́жет
1st Pl,отре́жем
2nd Pl,отре́жете
3rd Pl,отре́жут
Past M,отре́зал
Past F,отре́зала
Past N,отре́зало
Past PL,отре́зали
Imp S,отре́жь
Imp PL,отре́жьте
