Infinitive,отве́тствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отве́тствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отве́тствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отве́тствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отве́тствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отве́тствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отве́тствую
2nd Sing,отве́тствуешь
3rd Sing,отве́тствует
1st Pl,отве́тствуем
2nd Pl,отве́тствуете
3rd Pl,отве́тствуют
Past M,отве́тствовал
Past F,отве́тствовала
Past N,отве́тствовало
Past PL,отве́тствовали
Imp S,отве́тствуй
Imp PL,отве́тствуйте
