Infinitive,отпра́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отпра́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпра́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отпра́влюсь
2nd Sing,отпра́вишься
3rd Sing,отпра́вится
1st Pl,отпра́вимся
2nd Pl,отпра́витесь
3rd Pl,отпра́вятся
Past M,отпра́вился
Past F,отпра́вилась
Past N,отпра́вилось
Past PL,отпра́вились
Imp S,отпра́вься
Imp PL,отпра́вьтесь
