Infinitive,отхлебну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отхлебну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отхлёбнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отхлебну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отхлебну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отхлебну́
2nd Sing,отхлебнёшь
3rd Sing,отхлебнёт
1st Pl,отхлебнём
2nd Pl,отхлебнёте
3rd Pl,отхлебну́т
Past M,отхлебну́л
Past F,отхлебну́ла
Past N,отхлебну́ло
Past PL,отхлебну́ли
Imp S,отхлебни́
Imp PL,отхлебни́те
