Infinitive,отлича́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отлича́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отлича́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отлича́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отлича́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отлича́юсь
2nd Sing,отлича́ешься
3rd Sing,отлича́ется
1st Pl,отлича́емся
2nd Pl,отлича́етесь
3rd Pl,отлича́ются
Past M,отлича́лся
Past F,отлича́лась
Past N,отлича́лось
Past PL,отлича́лись
Imp S,отлича́йся
Imp PL,отлича́йтесь
