Infinitive,отби́ться
Zaliznyak Class,11*b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отби́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отби́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отобью́сь
2nd Sing,отобьёшься
3rd Sing,отобьётся
1st Pl,отобьёмся
2nd Pl,отобьётесь
3rd Pl,отобью́тся
Past M,отби́лся
Past F,отби́лась
Past N,отби́лось
Past PL,отби́лись
Imp S,отбе́йся
Imp PL,отбе́йтесь
