Infinitive,отодви́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отодви́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отодви́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отодви́нусь
2nd Sing,отодви́нешься
3rd Sing,отодви́нется
1st Pl,отодви́немся
2nd Pl,отодви́нетесь
3rd Pl,отодви́нутся
Past M,отодви́нулся
Past F,отодви́нулась
Past N,отодви́нулось
Past PL,отодви́нулись
Imp S,отодви́нься
Imp PL,отодви́ньтесь
