Infinitive,отчита́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отчита́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отчита́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отчита́юсь
2nd Sing,отчита́ешься
3rd Sing,отчита́ется
1st Pl,отчита́емся
2nd Pl,отчита́етесь
3rd Pl,отчита́ются
Past M,отчита́лся
Past F,отчита́лась
Past N,отчита́лось
Past PL,отчита́лись
Imp S,отчита́йся
Imp PL,отчита́йтесь
