Infinitive,отучи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отучи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оту́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отучи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отучи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отучу́
2nd Sing,оту́чишь
3rd Sing,оту́чит
1st Pl,оту́чим
2nd Pl,оту́чите
3rd Pl,оту́чат
Past M,отучи́л
Past F,отучи́ла
Past N,отучи́ло
Past PL,отучи́ли
Imp S,отучи́
Imp PL,отучи́те
