Infinitive,отрегули́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отрегули́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отрегули́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отрегули́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отрегули́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отрегули́рую
2nd Sing,отрегули́руешь
3rd Sing,отрегули́рует
1st Pl,отрегули́руем
2nd Pl,отрегули́руете
3rd Pl,отрегули́руют
Past M,отрегули́ровал
Past F,отрегули́ровала
Past N,отрегули́ровало
Past PL,отрегули́ровали
Imp S,отрегули́руй
Imp PL,отрегули́руйте
