Infinitive,отлете́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отлете́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отлете́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отлете́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отлечу́
2nd Sing,отлети́шь
3rd Sing,отлети́т
1st Pl,отлети́м
2nd Pl,отлети́те
3rd Pl,отлетя́т
Past M,отлете́л
Past F,отлете́ла
Past N,отлете́ло
Past PL,отлете́ли
Imp S,отлети́
Imp PL,отлети́те
