Infinitive,отстава́ть
Zaliznyak Class,13b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отстаю́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отстава́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отстава́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отстава́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отстава́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отстаю́
2nd Sing,отстаёшь
3rd Sing,отстаёт
1st Pl,отстаём
2nd Pl,отстаёте
3rd Pl,отстаю́т
Past M,отстава́л
Past F,отстава́ла
Past N,отстава́ло
Past PL,отстава́ли
Imp S,отстава́й
Imp PL,отстава́йте
