Infinitive,отряди́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отряди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отряжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отряди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отряди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отряжу́
2nd Sing,отряди́шь
3rd Sing,отряди́т
1st Pl,отряди́м
2nd Pl,отряди́те
3rd Pl,отрядя́т
Past M,отряди́л
Past F,отряди́ла
Past N,отряди́ло
Past PL,отряди́ли
Imp S,отряди́
Imp PL,отряди́те
