Infinitive,отта́ивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отта́ивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отта́ивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отта́иваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отта́ивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отта́ивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отта́ивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отта́иваю
2nd Sing,отта́иваешь
3rd Sing,отта́ивает
1st Pl,отта́иваем
2nd Pl,отта́иваете
3rd Pl,отта́ивают
Past M,отта́ивал
Past F,отта́ивала
Past N,отта́ивало
Past PL,отта́ивали
Imp S,отта́ивай
Imp PL,отта́ивайте
