Infinitive,отстрани́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отстрани́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отстранённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отстрани́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отстрани́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отстраню́
2nd Sing,отстрани́шь
3rd Sing,отстрани́т
1st Pl,отстрани́м
2nd Pl,отстрани́те
3rd Pl,отстраня́т
Past M,отстрани́л
Past F,отстрани́ла
Past N,отстрани́ло
Past PL,отстрани́ли
Imp S,отстрани́
Imp PL,отстрани́те
