Infinitive,отпа́сть
Zaliznyak Class,7b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отпа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отпа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отпаду́
2nd Sing,отпадёшь
3rd Sing,отпадёт
1st Pl,отпадём
2nd Pl,отпадёте
3rd Pl,отпаду́т
Past M,отпа́л
Past F,отпа́ла
Past N,отпа́ло
Past PL,отпа́ли
Imp S,отпади́
Imp PL,отпади́те
